"grappe","menage","vague","s20bq01","s20bq03","s20bq04a","s20bq04b","s20bq04c","s20bq04d","s20bq06a","s20bq06b","s20bq07a","s20bq07b","s20bq07c","s20bq08__1","s20bq08__2","s20bq08__3","s20bq08__4","s20bq09","s20bq10","s20bq11","s20bq12__1","s20bq12__2","s20bq12__3","s20bq12a1","s20bq12b1","s20bq12c1","s20bq12d1","s20bq12a2","s20bq12b2","s20bq12c2","s20bq12d2","s20bq13a","s20bq13b2","s20bq13c","s20bq13d","s20bq13e","s20bq13f","s20bq13g","s20bq13h","s20bq13i","s20bq13j","s20bq14a","s20bq14b","s20bq14c","s20bq15a","s20bq15b","s20bq15c","s20bq16","s20bq17a","s20bq17b","s20bq18a","s20bq18b","s20bq18c","s20bq18d","s20bq18e","s20bq18f","s20bq18g","s20bq18g_autre"
4,2,2,2,2,3,1,2,3,1,1,1,3,3,2,2,2,2,2,3,3,0,0,1,,,,,,,,,2,3,1,1,1,1,1,1,3,2,2,3,2,1,1,1,1,1,1,3,3,3,3,3,3,3,
4,3,2,3,3,4,2,3,2,2,1,1,1,2,2,2,1,2,2,2,1,0,0,1,,,,,,,,,2,2,2,2,2,2,3,2,3,3,2,3,2,3,2,2,3,3,2,3,3,3,3,3,3,3,
4,4,2,3,3,4,2,4,1,2,1,2,2,2,2,2,1,2,2,3,2,0,0,1,,,,,,,,,2,2,2,2,2,2,2,2,3,3,1,3,2,3,2,3,4,4,2,3,3,3,3,3,3,3,
4,5,2,3,3,4,3,4,2,2,1,2,2,2,2,2,1,2,2,1,2,0,0,1,,,,,,,,,3,2,2,4,3,2,2,2,4,3,1,3,2,3,2,3,4,4,2,3,2,3,3,2,3,3,
4,7,2,3,3,3,1,4,4,2,2,2,3,3,2,2,2,2,3,3,2,0,0,1,,,,,,,,,2,2,4,1,1,1,1,2,2,1,2,4,2,3,2,2,2,3,2,3,3,3,3,3,3,3,
4,8,2,2,2,2,4,4,2,1,1,3,3,2,2,2,2,2,2,3,1,0,0,1,,,,,,,,,1,1,1,1,2,3,3,3,3,3,2,3,2,2,2,2,3,2,2,3,2,2,1,2,2,3,
4,9,2,3,1,3,1,3,2,1,1,1,3,4,2,2,2,2,2,3,2,0,0,1,,,,,,,,,3,3,3,3,2,2,2,2,2,2,2,4,2,1,3,3,3,3,2,3,3,3,1,3,3,3,
4,11,2,1,1,3,3,3,1,1,2,3,3,2,2,2,2,2,1,2,1,0,0,1,,,,,,,,,2,2,2,3,3,3,3,3,3,3,1,3,1,1,1,2,1,1,3,3,3,3,1,2,2,3,
4,12,2,1,3,3,1,4,3,1,1,1,1,1,2,2,2,2,2,3,1,0,0,1,,,,,,,,,2,1,1,1,1,1,1,1,3,3,2,4,2,4,1,1,2,3,3,3,2,3,1,3,3,3,
4,13,2,3,3,4,2,4,2,2,1,2,1,2,2,2,1,1,3,2,2,0,0,1,,,,,,,,,3,2,3,3,3,3,3,3,3,3,2,4,2,3,2,3,4,4,2,3,3,3,2,2,3,3,
